country	continent	(Intercept)	year	sd
Guinea	Africa	-797.712674358978	0.424830769230771	1.19589356892871
Guinea-Bissau	Africa	-498.725104195807	0.271753146853148	0.643486627840674
Haiti	Americas	-735.811144055946	0.397058041958043	0.840765734690374
Honduras	Americas	-1016.65420233101	0.542851748251751	1.56428450395831
Hong Kong, China	Asia	-650.94602750583	0.36597062937063	1.16790969611317
Hungary	Europe	-175.369931934732	0.123648951048951	1.18712607166355
Iceland	Europe	-250.849434032634	0.165375524475525	0.546807166655512
India	Asia	-947.116794638698	0.505320979020981	1.72489334723168
Indonesia	Asia	-1201.93662167833	0.634641258741262	0.645547842095009
Iran	Asia	-924.462019813524	0.496639860139862	0.664632923996157
Iraq	Asia	-409.017413986014	0.235210489510489	4.05709657090689
Ireland	Europe	-321.139959440561	0.199119580419581	0.477854070754951
Israel	Asia	-455.091075058277	0.267106293706295	0.365740109238592
Italy	Europe	-459.878080652682	0.26971048951049	0.416739729724703
Jamaica	Americas	-369.500892540793	0.221394405594406	2.0559436168042
Japan	Asia	-623.74693892774	0.352904195804197	1.36919363509075
Jordan	Asia	-1071.95187249418	0.571729370629373	1.90924097700503
Kenya	Africa	-356.100976923077	0.206507692307692	4.38217412409026
Korea, Dem. Rep.	Asia	-562.759068764569	0.316426573426573	3.88817625812144
Korea, Rep.	Asia	-1034.4133	0.555400000000002	1.17424269212125
Kuwait	Asia	-756.205248484851	0.416836363636365	1.76285478526721
Lebanon	Asia	-450.841972494173	0.261029370629371	1.22773110177885
Lesotho	Africa	-139.165287645686	0.0955657342657335	5.93393350754046
Liberia	Africa	-147.543291608392	0.0959937062937064	1.7728313543141
Libya	Africa	-1178.94368088579	0.625535664335667	1.53988573827617
Madagascar	Africa	-751.40893729604	0.403727972027974	0.559654390625488
Malawi	Africa	-420.298534498836	0.234225874125875	1.93315556857978
Malaysia	Asia	-855.242463170165	0.464522377622379	2.08801607696057
Mali	Africa	-702.481479720283	0.376809790209792	0.481602601461244
Mauritania	Africa	-831.381323310027	0.446417482517484	0.407532308413587
